Rank,Player,Team,Blocks,PerGame
442,Evander Kane,ATL,24,0.36
443,Michael Ryder,BOS,24,0.29
444,Rob Niedermayer,NJ,24,0.34
445,Darcy Tucker,COL,24,0.34
446,Tom Pyatt,MON,23,0.58
447,Ales Kotalik,CGY,23,0.32
448,Derek Joslin,SJ,23,0.96
449,Zenon Konopka,TB,23,0.31
450,Nick Foligno,OTT,23,0.38
451,Theo Peckham,EDM,23,1.53
452,David Hale,TB,23,0.59
453,Matt Beleskey,ANH,23,0.38
454,Mark Recchi,BOS,22,0.27
455,Radim Vrbata,PHO,22,0.27
456,Brad Richards,DAL,22,0.28
457,Ryan Malone,TB,22,0.32
458,Cory Stillman,FLA,22,0.38
459,Paul Martin,NJ,22,1
460,Robert Lang,PHO,21,0.33
461,Andreas Lilja,DET,21,1.05
462,Eric Fehr,WAS,21,0.3
463,Vladimir Sobotka,BOS,21,0.34
464,Matt Hendricks,COL,21,0.38
465,Victor Oreskovich,FLA,21,0.42
466,Jamie Langenbrunner,NJ,21,0.26
467,Ryan Jones,EDM,21,0.43
468,James van Riemsdyk,PHI,21,0.27
469,Karl Alzner,WAS,21,1
470,Dean McAmmond,NJ,21,0.34
471,Jordan Hendry,CHI,21,0.49
472,Milan Hejduk,COL,21,0.38
473,John Scott,MIN,21,0.41
474,Alexander Semin,WAS,21,0.29
475,Maxim Afinogenov,ATL,21,0.26
476,Vincent Lecavalier,TB,21,0.26
477,Jere Lehtinen,DAL,21,0.36
478,Matt Ellis,BUF,20,0.28
479,Owen Nolan,MIN,20,0.27
480,Boris Valabik,ATL,20,0.87
481,Ruslan Salei,COL,20,1.43
482,Jesse Winchester,OTT,20,0.38
483,Byron Bitz,FLA,20,0.38
484,Ryan Shannon,OTT,20,0.3
485,Quintin Laing,WAS,20,0.56
486,Steve Downie,TB,20,0.25
487,Ilya Kovalchuk,NJ,20,0.26
488,Tim Kennedy,BUF,20,0.26
489,Justin Abdelkader,DET,20,0.4
490,David Schlemko,PHO,20,1.18
491,Erik Cole,CAR,20,0.5
492,Nathan Horton,FLA,20,0.31
493,Boyd Gordon,WAS,20,0.56
494,Danny Syvret,PHI,20,0.95
495,Guillaume Latendresse,MIN,20,0.26
496,Alex Ovechkin,WAS,20,0.28
497,Andrew Brunette,MIN,20,0.24
498,Jaime Sifers,MIN,19,1.36
499,Brian Rolston,NJ,19,0.24
500,Kris Draper,DET,19,0.23
501,Mason Raymond,VAN,19,0.23
502,Alex Kovalev,OTT,19,0.25
503,Torrey Mitchell,SJ,19,0.34
504,J.P. Dumont,NSH,19,0.26
505,Todd Bertuzzi,DET,19,0.23
506,Steve Ott,DAL,19,0.26
507,Matt Bradley,WAS,19,0.25
508,Dave Bolland,CHI,19,0.49
509,Tanner Glass,VAN,19,0.28
510,Benoit Pouliot,MON,19,0.36
511,Devin Setoguchi,SJ,18,0.26
512,Viktor Stalberg,TOR,18,0.45
513,Kyle Wellwood,VAN,18,0.24
514,Rob Schremp,NYI,18,0.41
515,Bryan Little,ATL,18,0.23
516,Alexander Sulzer,NSH,18,0.9
517,Peter Harrold,LA,18,0.46
518,Jonathan Cheechoo,OTT,18,0.3
519,Jamie McGinn,SJ,18,0.31
520,Eric Staal,CAR,18,0.26
521,Brad Boyes,STL,18,0.22
522,Trent Hunter,NYI,18,0.3
523,Jean-Francois Jacques,EDM,17,0.35
524,Brad Richardson,LA,17,0.21
525,Bryan Rodney,CAR,17,0.77
526,Justin Williams,LA,17,0.35
527,Martin Havlat,MIN,17,0.23
528,Sean Avery,NYR,17,0.25
529,Ville Leino,PHI,17,0.31
530,Mike Brown,ANH,17,0.23
531,Danny Briere,PHI,17,0.23
532,Matt D'Agostini,STL,17,0.36
533,Saku Koivu,ANH,17,0.24
534,Patrick Kane,CHI,17,0.21
535,Jason Arnott,NSH,17,0.27
536,Sergei Samsonov,CAR,17,0.24
537,Shawn Thornton,BOS,17,0.23
538,Adam McQuaid,BOS,17,0.89
539,Jakub Voracek,CLS,17,0.21
540,Bobby Ryan,ANH,17,0.21
541,Dan Carcillo,PHI,17,0.22
542,Tomas Fleischmann,WAS,17,0.25
543,Chris Clark,CLS,17,0.23
544,Andrei Kostitsyn,MON,17,0.29
545,Sergei Kostitsyn,MON,16,0.34
546,Kristian Huselius,CLS,16,0.22
547,Erik Christensen,NYR,16,0.28
548,Jason Chimera,WAS,16,0.21
549,Arron Asham,PHI,16,0.22
550,Mikael Samuelsson,VAN,16,0.22
551,Cory Murphy,NJ,16,1.33
552,Petr Prucha,PHO,16,0.2
553,Michael Rupp,PIT,16,0.2
554,Doug Weight,NYI,16,0.44
555,Sam Gagner,EDM,16,0.24
556,Patrik Elias,NJ,16,0.28
557,Tyler Bozak,TOR,15,0.41
558,Drew Stafford,BUF,15,0.21
559,Brandon Prust,NYR,15,0.22
560,Doug Janik,DET,15,1.15
561,Chris Kunitz,PIT,15,0.3
562,Thomas Vanek,BUF,15,0.21
563,Shawn Matthias,FLA,15,0.27
564,Raffi Torres,BUF,15,0.2
565,Alexander Frolov,LA,14,0.17
566,Mika Pyorala,PHI,14,0.39
567,George Parros,ANH,14,0.25
568,Max Talbot,PIT,14,0.31
569,James Wright,TB,14,0.29
